Date,Open,High,Low,Close
3/16/2020,60,60,59,59
3/17/2020,55,55,55,55
3/18/2020,52,52,52,52
3/19/2020,50,51,50,50
3/20/2020,50,56,50,52
3/23/2020,52,52,50,50
3/24/2020,51,52,50,50
3/26/2020,51,66,50,59
3/27/2020,60,71,60,66
3/30/2020,64,67,62,62
3/31/2020,60,67,59,62
4/1/2020,58,65,58,59
4/2/2020,58,64,57,62
4/3/2020,63,78,63,76
4/6/2020,78,96,76,95
4/7/2020,101,108,89,92
4/8/2020,92,94,86,86
4/9/2020,87,92,81,92
4/13/2020,92,102,89,98
4/14/2020,98,102,95,96
4/15/2020,97,99,92,94
4/16/2020,94,95,89,89
4/17/2020,92,96,91,93
4/20/2020,94,104,91,99
4/21/2020,98,102,96,101
4/22/2020,101,109,98,108
4/23/2020,110,117,101,101
4/24/2020,105,105,97,98
4/27/2020,98,103,98,102
4/28/2020,104,105,99,101
4/29/2020,101,106,100,104
4/30/2020,105,109,105,107
5/4/2020,105,107,102,104
5/5/2020,107,107,100,101
5/6/2020,101,103,99,100
5/8/2020,100,103,99,100
5/11/2020,101,103,100,100
5/12/2020,100,108,99,101
5/13/2020,100,100,96,96
5/14/2020,94,95,91,91
5/15/2020,91,97,88,97
5/18/2020,100,103,97,100
5/19/2020,101,104,98,99
5/20/2020,99,100,95,97
5/26/2020,97,103,97,99
5/27/2020,100,101,96,99
5/28/2020,100,100,97,98
5/29/2020,98,98,96,97
6/2/2020,97,98,95,96
6/3/2020,96,100,96,98
6/4/2020,98,103,98,99
6/5/2020,99,101,98,100
6/8/2020,101,104,100,101
6/9/2020,103,118,101,113
6/10/2020,113,115,106,106
6/11/2020,104,105,99,100
6/12/2020,94,101,93,98
6/15/2020,98,102,95,96
6/16/2020,97,102,97,100
6/17/2020,101,102,99,100
6/18/2020,99,107,97,106
6/19/2020,108,108,103,105
6/22/2020,105,108,104,105
6/23/2020,105,106,101,101
6/24/2020,102,104,100,101
6/25/2020,100,101,98,99
6/26/2020,99,101,99,101
6/29/2020,99,102,98,99
6/30/2020,99,101,96,97
7/1/2020,98,99,94,97
7/2/2020,97,99,96,97
7/3/2020,97,102,97,100
7/6/2020,103,104,99,100
7/7/2020,101,101,97,98
7/8/2020,98,99,97,97
7/9/2020,97,99,97,98
7/10/2020,98,99,97,97
7/13/2020,98,98,96,97
7/14/2020,97,98,96,97
7/15/2020,97,99,96,97
7/16/2020,97,98,97,97
7/17/2020,96,99,96,98
7/20/2020,98,98,96,96
7/21/2020,97,100,95,99
7/22/2020,100,100,97,98
7/23/2020,99,108,98,103
7/24/2020,107,139,106,139
7/27/2020,143,168,138,142
7/28/2020,142,151,134,138
7/29/2020,139,157,135,153
7/30/2020,156,156,143,143
8/3/2020,139,141,133,133
8/4/2020,125,137,124,132
8/5/2020,136,148,135,144
8/6/2020,138,152,138,146
8/7/2020,147,150,140,143
8/10/2020,144,149,133,133
8/11/2020,135,135,124,130
8/12/2020,132,133,127,128
8/13/2020,128,130,120,120
8/14/2020,114,125,112,112
8/18/2020,112,113,105,105
8/19/2020,105,110,99,100
8/24/2020,102,104,96,98
8/25/2020,98,100,92,92
8/26/2020,92,108,87,106
8/27/2020,110,110,99,99
8/28/2020,94,98,93,93
8/31/2020,88,98,88,90
9/1/2020,92,94,89,91
9/2/2020,91,96,90,92
9/3/2020,92,94,90,92
9/4/2020,92,93,89,91
9/7/2020,91,92,89,90
9/8/2020,91,92,86,87
9/9/2020,87,90,84,87
9/10/2020,87,88,81,81
9/11/2020,76,82,76,80
9/14/2020,82,90,80,87
9/15/2020,88,90,84,85
9/16/2020,86,87,84,84
9/17/2020,85,87,83,84
9/18/2020,84,85,79,79
9/21/2020,80,83,77,78
9/22/2020,78,78,74,77
9/23/2020,78,80,73,75
9/24/2020,74,76,70,71
9/25/2020,72,81,70,77
9/28/2020,80,80,76,76
9/29/2020,76,80,74,75
9/30/2020,75,77,74,75
10/1/2020,75,82,75,80
10/2/2020,80,83,77,78
10/5/2020,80,80,77,77
10/6/2020,77,87,77,87
10/7/2020,87,89,84,85
10/8/2020,86,87,83,83
10/9/2020,83,85,82,84
10/12/2020,85,85,82,83
10/13/2020,83,86,80,84
10/14/2020,84,87,83,83
10/15/2020,84,85,82,83
10/16/2020,83,84,82,82
10/19/2020,83,85,80,82
10/20/2020,82,82,77,78
10/21/2020,79,80,78,79
10/22/2020,79,79,74,75
10/23/2020,75,76,70,73
10/26/2020,73,73,68,68
10/27/2020,68,71,66,70
11/2/2020,69,71,66,67
11/3/2020,67,69,67,68
11/4/2020,68,70,66,67
11/5/2020,68,69,64,66
11/6/2020,67,67,62,64
11/9/2020,62,66,62,63
11/10/2020,64,65,61,63
11/11/2020,65,69,63,69
11/12/2020,69,70,65,65
11/13/2020,63,65,61,61
11/16/2020,60,63,59,62
11/17/2020,65,65,61,63
11/18/2020,63,67,62,65
11/19/2020,65,66,64,65
11/20/2020,66,73,64,68
11/23/2020,68,72,68,70
11/24/2020,71,77,70,74
11/25/2020,76,77,70,73
11/26/2020,73,74,70,70
11/27/2020,70,73,69,69
