Date,Open,High,Low,Close
3/16/2020,3300,3300,3160,3160
3/17/2020,3160,3160,2940,2940
3/18/2020,3010,3080,2740,2810
3/19/2020,2810,2810,2620,2620
3/20/2020,2660,2990,2450,2880
3/23/2020,2880,2880,2680,2680
3/24/2020,2700,2880,2570,2620
3/26/2020,2550,3080,2550,2980
3/27/2020,3050,3270,3050,3090
3/30/2020,3060,3180,2880,3140
3/31/2020,3180,3300,3120,3160
4/1/2020,3180,3200,3040,3100
4/2/2020,3100,3130,3020,3130
4/3/2020,3150,3220,3120,3200
4/6/2020,3280,3330,3180,3330
4/7/2020,3390,3500,3200,3220
4/8/2020,3220,3220,3050,3110
4/9/2020,3110,3180,3030,3120
4/13/2020,3140,3230,3130,3180
4/14/2020,3200,3250,3160,3240
4/15/2020,3250,3300,3090,3110
4/16/2020,3110,3110,3000,3000
4/17/2020,3050,3250,3050,3230
4/20/2020,3270,3270,3120,3120
4/21/2020,3120,3130,3050,3070
4/22/2020,3050,3270,3030,3160
4/23/2020,3200,3240,3070,3070
4/24/2020,3100,3160,3080,3090
4/27/2020,3120,3200,3100,3150
4/28/2020,3170,3200,3140,3160
4/29/2020,3200,3390,3100,3350
4/30/2020,3400,3540,3350,3500
5/4/2020,3400,3400,3260,3320
5/5/2020,3320,3390,3320,3320
5/6/2020,3300,3340,3220,3240
5/8/2020,3270,3290,3150,3190
5/11/2020,3220,3250,3210,3220
5/12/2020,3270,3270,3100,3150
5/13/2020,3150,3170,3080,3160
5/14/2020,3110,3140,3060,3070
5/15/2020,3100,3130,3020,3100
5/18/2020,3100,3220,3100,3220
5/19/2020,3250,3330,3250,3270
5/20/2020,3200,3260,3180,3180
5/26/2020,3150,3280,3130,3250
5/27/2020,3250,3270,3150,3170
5/28/2020,3180,3210,3130,3130
5/29/2020,3100,3150,3080,3150
6/2/2020,3160,3270,3120,3250
6/3/2020,3280,3320,3230,3290
6/4/2020,3320,3390,3250,3300
6/5/2020,3360,3360,3200,3230
6/8/2020,3250,3290,3220,3230
6/9/2020,3250,3270,3140,3140
6/10/2020,3150,3190,3100,3110
6/11/2020,3120,3150,3060,3080
6/12/2020,3080,3080,2970,3030
6/15/2020,3060,3150,3030,3090
6/16/2020,3150,3220,3130,3200
6/17/2020,3210,3230,3140,3210
6/18/2020,3210,3350,3180,3280
6/19/2020,3300,3340,3250,3280
6/22/2020,3290,3300,3180,3200
6/23/2020,3200,3200,3120,3130
6/24/2020,3150,3230,3140,3180
6/25/2020,3160,3220,3140,3160
6/26/2020,3190,3220,3180,3190
6/29/2020,3200,3250,3160,3180
6/30/2020,3090,3100,3050,3050
7/1/2020,3070,3100,3010,3040
7/2/2020,3040,3140,3040,3140
7/3/2020,3150,3180,3110,3120
7/6/2020,3130,3150,3040,3050
7/7/2020,3060,3120,3050,3120
7/8/2020,3130,3160,3110,3150
7/9/2020,3170,3190,3110,3110
7/10/2020,3110,3130,3100,3110
7/13/2020,3120,3130,3080,3090
7/14/2020,3100,3110,3070,3080
7/15/2020,3120,3130,3080,3090
7/16/2020,3090,3110,3080,3100
7/17/2020,3100,3110,3060,3060
7/20/2020,3080,3080,3040,3060
7/21/2020,3050,3110,3050,3060
7/22/2020,3070,3090,3060,3070
7/23/2020,3070,3090,3060,3070
7/24/2020,3080,3080,3020,3020
7/27/2020,3020,3050,3020,3040
7/28/2020,3050,3050,3010,3020
7/29/2020,3030,3050,3000,3000
7/30/2020,3040,3050,3000,3050
8/3/2020,3060,3060,2850,2920
8/4/2020,2970,2970,2920,2950
8/5/2020,2960,3040,2920,3020
8/6/2020,3050,3050,3000,3020
8/7/2020,3020,3030,2970,2980
8/10/2020,3000,3020,2970,2970
8/11/2020,2980,3000,2930,2930
8/12/2020,2930,2960,2920,2950
8/13/2020,2950,3020,2950,3010
8/14/2020,3020,3040,3000,3030
8/18/2020,3030,3060,3000,3050
8/19/2020,3050,3050,3000,3000
8/24/2020,3010,3020,2990,3000
8/25/2020,3010,3010,2980,2980
8/26/2020,2980,3050,2980,3020
8/27/2020,3020,3040,2970,2990
8/28/2020,2990,2990,2940,2960
8/31/2020,2960,2980,2860,2860
9/1/2020,2900,2910,2860,2900
9/2/2020,2900,2970,2900,2950
9/3/2020,2950,2960,2880,2900
9/4/2020,2850,2890,2840,2860
9/7/2020,2870,2910,2870,2900
9/8/2020,2890,2900,2860,2860
9/9/2020,2850,2860,2800,2800
9/10/2020,2800,2800,2620,2700
9/11/2020,2670,2840,2650,2810
9/14/2020,2830,2890,2820,2890
9/15/2020,2890,2900,2810,2830
9/16/2020,2810,2830,2770,2790
9/17/2020,2810,2850,2780,2820
9/18/2020,2850,2890,2840,2890
9/21/2020,2890,2910,2800,2810
9/22/2020,2790,2810,2750,2780
9/23/2020,2770,2810,2740,2800
9/24/2020,2750,2760,2710,2730
9/25/2020,2720,2740,2670,2690
9/28/2020,2710,2730,2660,2660
9/29/2020,2690,2690,2630,2630
9/30/2020,2630,2650,2540,2560
10/1/2020,2600,2760,2600,2750
10/2/2020,2750,2750,2650,2680
10/5/2020,2690,2710,2640,2650
10/6/2020,2680,2700,2620,2650
10/7/2020,2650,2670,2620,2660
10/8/2020,2670,2720,2650,2700
10/9/2020,2710,2750,2700,2730
10/12/2020,2750,2760,2710,2730
10/13/2020,2730,2740,2680,2730
10/14/2020,2730,2830,2710,2810
10/15/2020,2800,2850,2760,2780
10/16/2020,2780,2780,2720,2750
10/19/2020,2800,2810,2710,2710
10/20/2020,2710,2740,2670,2670
10/21/2020,2680,2710,2670,2680
10/22/2020,2670,2720,2650,2700
10/23/2020,2710,2720,2630,2630
10/26/2020,2630,2680,2630,2650
10/27/2020,2640,2690,2620,2620
11/2/2020,2590,2620,2550,2560
11/3/2020,2570,2590,2540,2580
11/4/2020,2600,2640,2580,2580
11/5/2020,2630,2810,2620,2770
11/6/2020,2800,2840,2750,2830
11/9/2020,2860,2900,2840,2880
11/10/2020,2950,2950,2860,2860
11/11/2020,2900,3100,2880,3080
11/12/2020,3080,3080,3010,3040
11/13/2020,3010,3010,2950,2990
11/16/2020,3040,3100,3020,3070
11/17/2020,3100,3270,3100,3220
11/18/2020,3200,3250,3160,3180
11/19/2020,3150,3220,3140,3170
11/20/2020,3190,3270,3180,3220
11/23/2020,3230,3340,3220,3320
11/24/2020,3350,3380,3330,3350
11/25/2020,3370,3390,3280,3280
11/26/2020,3280,3480,3280,3470
11/27/2020,3480,3500,3420,3460
