Date,Open,High,Low,Close
3/16/2020,1685,1685,1580,1580
3/17/2020,1570,1580,1470,1470
3/18/2020,1480,1500,1370,1370
3/19/2020,1370,1370,1275,1275
3/20/2020,1260,1375,1190,1375
3/23/2020,1330,1330,1280,1280
3/24/2020,1270,1345,1195,1200
3/26/2020,1220,1450,1220,1340
3/27/2020,1400,1570,1345,1400
3/30/2020,1370,1425,1305,1425
3/31/2020,1450,1600,1450,1555
4/1/2020,1560,1640,1515,1550
4/2/2020,1545,1750,1490,1735
4/3/2020,1770,2010,1750,1945
4/6/2020,1985,2180,1985,2180
4/7/2020,2220,2370,2030,2060
4/8/2020,2040,2060,1920,1920
4/9/2020,1950,2030,1900,1955
4/13/2020,1995,2030,1860,1990
4/14/2020,2000,2080,1970,2070
4/15/2020,2090,2130,1970,1985
4/16/2020,1985,1985,1850,1880
4/17/2020,1880,2050,1880,2040
4/20/2020,2060,2080,1955,1965
4/21/2020,1965,1975,1900,1905
4/22/2020,1900,2180,1880,2110
4/23/2020,2150,2160,2030,2030
4/24/2020,2020,2150,1990,2000
4/27/2020,2040,2100,2030,2070
4/28/2020,2080,2100,2030,2040
4/29/2020,2050,2280,2050,2250
4/30/2020,2240,2320,2150,2150
5/4/2020,2150,2180,2090,2150
5/5/2020,2160,2210,2120,2150
5/6/2020,2170,2180,2090,2100
5/8/2020,2120,2140,2040,2050
5/11/2020,2070,2150,2060,2110
5/12/2020,2110,2130,1990,2000
5/13/2020,2010,2040,1950,1995
5/14/2020,1995,2030,1925,1950
5/15/2020,1980,2020,1945,2020
5/18/2020,2040,2080,2010,2030
5/19/2020,2060,2090,2000,2000
5/20/2020,2000,2030,1975,1975
5/26/2020,1990,2120,1980,2110
5/27/2020,2130,2150,2100,2110
5/28/2020,2110,2130,2030,2050
5/29/2020,2100,2110,2010,2020
6/2/2020,2020,2090,2020,2070
6/3/2020,2100,2140,2060,2060
6/4/2020,2080,2120,2040,2090
6/5/2020,2060,2260,2060,2240
6/8/2020,2300,2300,2210,2210
6/9/2020,2230,2260,2140,2140
6/10/2020,2140,2290,2130,2230
6/11/2020,2240,2310,2180,2230
6/12/2020,2180,2260,2080,2260
6/15/2020,2280,2450,2250,2250
6/16/2020,2350,2390,2300,2380
6/17/2020,2390,2420,2330,2350
6/18/2020,2300,2530,2290,2500
6/19/2020,2500,2550,2470,2530
6/22/2020,2530,2550,2430,2500
6/23/2020,2450,2510,2390,2400
6/24/2020,2400,2440,2340,2380
6/25/2020,2380,2380,2320,2320
6/26/2020,2350,2450,2320,2440
6/29/2020,2430,2430,2360,2380
6/30/2020,2360,2430,2340,2350
7/1/2020,2350,2380,2320,2320
7/2/2020,2320,2380,2300,2320
7/3/2020,2350,2480,2330,2400
7/6/2020,2400,2540,2400,2500
7/7/2020,2530,2630,2470,2560
7/8/2020,2570,2600,2540,2570
7/9/2020,2590,2640,2550,2570
7/10/2020,2550,2590,2530,2560
7/13/2020,2570,2630,2560,2570
7/14/2020,2570,2640,2550,2550
7/15/2020,2580,2600,2550,2550
7/16/2020,2590,2590,2500,2520
7/17/2020,2530,2560,2530,2560
7/20/2020,2570,2580,2480,2570
7/21/2020,2550,2600,2550,2560
7/22/2020,2560,2580,2530,2550
7/23/2020,2570,2570,2540,2540
7/24/2020,2520,2590,2500,2510
7/27/2020,2520,2590,2510,2560
7/28/2020,2540,2590,2500,2510
7/29/2020,2510,2540,2340,2340
7/30/2020,2350,2420,2210,2300
8/3/2020,2320,2330,2140,2170
8/4/2020,2170,2330,2170,2320
8/5/2020,2340,2370,2270,2360
8/6/2020,2350,2440,2350,2400
8/7/2020,2400,2430,2330,2390
8/10/2020,2430,2430,2390,2390
8/11/2020,2400,2430,2380,2410
8/12/2020,2410,2440,2340,2390
8/13/2020,2390,2530,2390,2510
8/14/2020,2520,2570,2460,2540
8/18/2020,2530,2570,2490,2490
8/19/2020,2530,2530,2460,2490
8/24/2020,2500,2510,2430,2460
8/25/2020,2490,2510,2460,2470
8/26/2020,2470,2540,2440,2500
8/27/2020,2510,2540,2390,2430
8/28/2020,2430,2440,2360,2380
8/31/2020,2400,2420,2250,2300
9/1/2020,2300,2350,2290,2300
9/2/2020,2310,2340,2300,2330
9/3/2020,2350,2420,2340,2360
9/4/2020,2330,2360,2300,2310
9/7/2020,2320,2320,2260,2290
9/8/2020,2300,2310,2250,2260
9/9/2020,2250,2290,2200,2220
9/10/2020,2220,2220,2080,2080
9/11/2020,2080,2280,1950,2250
9/14/2020,2260,2350,2250,2260
9/15/2020,2260,2290,2160,2170
9/16/2020,2170,2220,2160,2170
9/17/2020,2170,2200,2110,2130
9/18/2020,2120,2190,2120,2150
9/21/2020,2160,2170,2020,2030
9/22/2020,2030,2070,1965,2000
9/23/2020,2000,2050,1945,1955
9/24/2020,1955,1955,1870,1930
9/25/2020,1950,1980,1915,1945
9/28/2020,1965,2040,1950,2040
9/29/2020,2060,2070,1990,2020
9/30/2020,2030,2030,1955,1990
10/1/2020,1990,2140,1990,2070
10/2/2020,2070,2070,1985,2000
10/5/2020,2030,2040,2000,2020
10/6/2020,2100,2110,2040,2040
10/7/2020,2040,2130,2020,2080
10/8/2020,2080,2120,2060,2070
10/9/2020,2070,2100,2060,2070
10/12/2020,2080,2110,2050,2060
10/13/2020,2060,2100,2030,2060
10/14/2020,2060,2120,2050,2090
10/15/2020,2070,2100,2030,2040
10/16/2020,2040,2080,2030,2050
10/19/2020,2070,2080,2040,2070
10/20/2020,2070,2070,2020,2040
10/21/2020,2050,2080,2030,2050
10/22/2020,2050,2060,2020,2040
10/23/2020,2040,2070,2030,2050
10/26/2020,2050,2070,2000,2020
10/27/2020,2020,2040,2000,2010
11/2/2020,2020,2020,1990,2010
11/3/2020,2040,2050,2000,2010
11/4/2020,2040,2050,1990,1995
11/5/2020,2020,2130,2000,2120
11/6/2020,2120,2170,2060,2140
11/9/2020,2150,2150,2090,2110
11/10/2020,2130,2140,2090,2090
11/11/2020,2130,2230,2090,2180
11/12/2020,2190,2200,2130,2150
11/13/2020,2170,2220,2150,2200
11/16/2020,2200,2250,2200,2220
11/17/2020,2250,2260,2220,2230
11/18/2020,2240,2250,2180,2200
11/19/2020,2200,2210,2180,2190
11/20/2020,2190,2220,2180,2200
11/23/2020,2210,2290,2190,2280
11/24/2020,2310,2340,2280,2320
11/25/2020,2330,2380,2280,2300
11/26/2020,2300,2370,2290,2330
11/27/2020,2350,2370,2330,2350
